id;subject_rf;name_full;name_short;name_employee;inn;orn;legal_address;actual_address;phone;email;site;count_mkd;area_total;w_summ
8922890;"город Москва";"Общество с ограниченной ответственностью ""Главное управление жилищным фондом""";"ООО ""ГУЖФ""";"Глеб Вадимиович Смирнов";7704307993;1157746180305;"г. Москва, пр-кт. Комсомольский, д. 18, стр. 3";"г. Москва, пр-кт. Комсомольский, д. 18, стр. 3";8-800-200-50-58;info@guzhf.ru;;1;280,80;35,00
7563323;"город Москва";"Общество с ограниченной ответ-ственностью  «ПИК-Комфорт» ";"ООО ""ПИК-Комфорт""";"организация ООО Маяк Управляющая";7701208190;1027700082266;"г. Москва, ул. Лукинская, д. 14";"г. Москва, ш. Варшавское, д. 16, к. 2";"+ 74955058989 ";hotline@pik-comfort.ru;;3;16063,10;43,00
8938247;"город Москва";"Федеральное государственное бюджетное учреждение ""Центральное жилищно-коммунальное управление"" Министерств обороны Российской Федерации";"ФГБУ ""ЦЖКУ"" Минобороны России";"Александр Анатольевич Жданов";7729314745;1027700430889;"г. Москва, ул. Спартаковская, д. 2Б";"г. Москва, ул. Спартаковская, д. 2Б";9263148764;info@zhky.ru;;5;7294,90;29,00
7598604;"Пермский край";.;.;"Ирина. Арнольдовна. Рогозина";5904140748;1065904084201;"г. Пермь, ул. Николая Островского, д. 55";"г. Пермь, ул. Николая Островского, д. 55";"8 922 325 90 40.";tsg55perm@gmail.com;;1;12093,10;28,50
8924684;"Пермский край";"общество с ограниченной ответственностью управляющая компания ""Донатор""";"000 УК ""Донатор""";"Евгений Владимирович Свечников";5902002710;1155958011362;"г. Пермь, ул. Монастырская, д. 61";"г. Пермь, ул. Монастырская, д. 61";2632990;u.donator@yandex.ru;;1;9957,40;23,50
8919800;"Пермский край";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК ЖИЛИЩНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ""";"OOO ""УК ЖЭУ""";"Светлана Владимировна Комар";5904003477;1145958087791;"г. Пермь, ул. Героев Хасана, д. 7а, п. 301";"г. Чайковский, ул. Карла Маркса, д. 3";"+7(34241) 4 14 22";zheu.uk@yandex.ru;укжэу.рф;27;82962,97;36,00
8929221;"Пермский край";"Администрация Фокинского сельского поселения";"Администрации ФСП";"Светлана Михайловна Старикова";5920023230;1055906307874;"г. Чайковский, с. Фоки, ул. Ленина, д. 45";"г. Чайковский, с. Фоки, ул. Ленина, д. 45";83424166681;adm.foki@yandex.ru;sfoki.ru;5;734,30;28,00
8931498;"Пермский край";"Администрация Белоевского сельского поселения";"Администрация Белоевского сельского поселения";"Николай Леонидович Чугаев";8107012719;1058107803984;"с. Белоево, ул. Ленина, д. 23";"с. Белоево, ул. Ленина, д. 23";3-51-41;beloevo-sp@mail.ru;http://beloevo.permarea.ru;2;565,60;21,00
8937879;"Пермский край";"Администрация Заводо-Тюшевского сельского поселения Октябрьского муниципального района Пермского края";"Администрация Заводо-Тюшевского сельского поселения";"Газнавий  Абдулгазимович Насретдинов ";5951041550;1055907572478;"п. Тюш, ул. Первомайская, д. 7";"п. Тюш, ул. Первомайская, д. 7";"8 (34266)37532";tush007@mail.ru;http://oktyabrskiy.permarea.ru/zavodo-tushevskoe/;1;;15,00
8931569;"Пермский край";"Администрация Степановского сельского поселения";"Администрация Степановского сельского поселения";"Раиса Петровна Овчинникова";8107012740;1058107804061;"д. Степанова, ул. Сазонова, д. 10";"д. Степанова, ул. Сазонова, д. 10";8(34260)51966;serviscentr1007@mail.ru;;17;1827,20;24,50
8928114;"Пермский край";"Муниципальное образование ""Чекменевское сельское поселение""";"Администрация Чекменевского сельского поселения";"Александр Анатольевич Кобелев ";5916015861;1055905529184;"д. Нижняя Гаревая, ул. Молодежная, д. 7, лит. а";"д. Нижняя Гаревая, ул. Молодежная, д. 7, лит. а";"34272 26 4 15";kamenskix.valentina@mail.ru;;6;1826,30;24,00
8704450;"Пермский край";"Администрация Черновского сельского поселения Большесосновского муниципального района";"Администрация Черновского СП";"Сергей Михайлович Кулаков ";5947014850;1055907218751;"с. Черновское, ул. Октябрьская, д. 10";"с. Черновское, ул. Кирова, д. 10";"34 257 2 31 80";acspos@yandex.ru;chernovskoe-sp.ru;2;;15,00
8937116;"Пермский край";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЗНЕСЕНСКИЙ-СЕРВИС""";ВОЗНЕСЕНСКИЙ-СЕРВИС;"Артем Владимирович Пономарев";5906144000;1165958113947;"г. Пермь, ул. Грибоедова, д. 119";"г. Пермь, ул. Луначарского, д. 32а";89048442274,89519369037;voznesenskiy-servis@yandex.ru;;1;8882,00;31,50
7607886;"Пермский край";"""Управляющая компания ""Гарант комфорта""";"Гарант комфорта";"Сергей  Владимирович Романов";5905250447;1075905004230;"г. Пермь, ул. Семченко, д. 6";"г. Пермь, ул. Семченко, д. 6";"(342) 2590627";ukgk@inbox.ru;http://www.uk-permkrai.ru/members/garantkomforta.php;42;15093,00;19,00
8913934;"Пермский край";"Товарищество собственников жилья ""Желябова15""";"""Желябова15""";"Виктор Васильевич Петров";5903071033;1065903035395;"г. Пермь, ул. Желябова, д. 15";"г. Пермь, ул. Желябова, д. 15";89028371009;knv0501@mail.ru;reformagkh.ru;1;5367,00;31,00
8933974;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 15";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 15";"ВЕРА СТЕПАНОВНА ВЬЮШКОВА";5905097848;1025901225130;"г. Пермь, ул. Стахановская, д. 57";"г. Пермь, ул. Стахановская, д. 57";89125913515;korykhalova@mail.ru;;1;3079,10;27,00
8930082;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №2";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №2";"АЛЕКСЕЙ ВИКТОРОВИЧ ШАРУНОВ";5905097615;1025901219134;"г. Пермь, ул. Самолетная, д. 32";"г. Пермь, ул. Самолетная, д. 32";89082712371;zhsk2@list.ru;https://www.reformagkh.ru;1;4445,60;27,50
8930379;"Пермский край";"Жилищно-строительный кооператив №38 при Дзержинском Райисполкоме";"Жилищно-строительный кооператив №38 при Дзержинском Райисполкоме";"Наждежда Леонидовна Мамбетшаева";5903058378;1035900361474;"г. Пермь, ул. Мильчакова, д. 34";"г. Пермь, ул. Мильчакова, д. 34";8(342)2245440;GSK-3834@mail.ru;;1;2678,40;27,00
8934357;"Пермский край";"Жилищно-строительный кооператив № 6";"Жилищно-строительный кооператив № 6";"Евгения Андреевна Шустова";5920008313;1025902036159;"г. Чайковский, ул. Ленина, д. 66";"г. Чайковский, ул. Ленина, д. 66";89223388234;Ler43777@yandex.ru;;1;2950,00;25,50
8684391;"Пермский край";"Жилищный кооператив № 11";ЖК-11;"Тамара Ильинична Куфонина";5906011723;1025901376302;"г. Пермь, б-р. Гагарина, д. 97";"г. Пермь, б-р. Гагарина, д. 97";89068870846;tamarak1953@yandex.ru;;1;3198,10;27,00
